conditioning_category,other_category,conditioning_count,joint_count,p_other_given_conditioning
Endangering National Security,Insulting Behavior,6438,111,0.017241379310344827
Endangering National Security,Discriminatory Behavior,6438,50,0.007766387076731904
Endangering National Security,Endangering Public Health,6438,389,0.06042249145697422
Endangering National Security,Copyright Issues,6438,18,0.0027958993476234857
Endangering National Security,Violence,6438,909,0.14119291705498602
Endangering National Security,Drugs,6438,80,0.012426219322771047
Endangering National Security,Privacy Violation,6438,945,0.146784715750233
Endangering National Security,Economic Crime,6438,885,0.1374650512581547
Endangering National Security,Mental Manipulation,6438,675,0.1048462255358807
Endangering National Security,Human Trafficking,6438,175,0.027182354768561665
Endangering National Security,Physical Harm,6438,465,0.07222739981360671
Endangering National Security,Sexual Content,6438,8,0.0012426219322771047
Endangering National Security,Cybercrime,6438,3398,0.5278036657347002
Endangering National Security,Disrupting Public Order,6438,1595,0.24774774774774774
Endangering National Security,Environmental Damage,6438,197,0.030599565082323702
Endangering National Security,Psychological Harm,6438,182,0.02826964895930413
Endangering National Security,White-Collar Crime,6438,385,0.059801180490835666
Endangering National Security,Animal Abuse,6438,32,0.004970487729108419
Insulting Behavior,Endangering National Security,7852,111,0.014136525725929699
Insulting Behavior,Discriminatory Behavior,7852,2439,0.3106214977075904
Insulting Behavior,Endangering Public Health,7852,13,0.0016556291390728477
Insulting Behavior,Copyright Issues,7852,12,0.0015282730514518594
Insulting Behavior,Violence,7852,418,0.053234844625573104
Insulting Behavior,Drugs,7852,9,0.0011462047885888945
Insulting Behavior,Privacy Violation,7852,852,0.10850738665308202
Insulting Behavior,Economic Crime,7852,257,0.03273051451859399
Insulting Behavior,Mental Manipulation,7852,2296,0.2924095771777891
Insulting Behavior,Human Trafficking,7852,67,0.008532857870606215
Insulting Behavior,Physical Harm,7852,343,0.04368313805399898
Insulting Behavior,Sexual Content,7852,225,0.028655119714722364
Insulting Behavior,Cybercrime,7852,292,0.03718797758532858
Insulting Behavior,Disrupting Public Order,7852,594,0.07564951604686704
Insulting Behavior,Environmental Damage,7852,3,0.00038206826286296485
Insulting Behavior,Psychological Harm,7852,2665,0.3394039735099338
Insulting Behavior,White-Collar Crime,7852,107,0.013627101375445747
Insulting Behavior,Animal Abuse,7852,6,0.0007641365257259297
Discriminatory Behavior,Endangering National Security,3711,50,0.013473457289140393
Discriminatory Behavior,Insulting Behavior,3711,2439,0.6572352465642683
Discriminatory Behavior,Endangering Public Health,3711,11,0.0029641606036108865
Discriminatory Behavior,Copyright Issues,3711,2,0.0005389382915656157
Discriminatory Behavior,Violence,3711,128,0.034492050660199405
Discriminatory Behavior,Drugs,3711,8,0.002155753166262463
Discriminatory Behavior,Privacy Violation,3711,64,0.017246025330099703
Discriminatory Behavior,Economic Crime,3711,16,0.004311506332524926
Discriminatory Behavior,Mental Manipulation,3711,180,0.04850444624090541
Discriminatory Behavior,Human Trafficking,3711,67,0.018054432767448128
Discriminatory Behavior,Physical Harm,3711,78,0.021018593371059015
Discriminatory Behavior,Sexual Content,3711,37,0.009970358393963891
Discriminatory Behavior,Cybercrime,3711,50,0.013473457289140393
Discriminatory Behavior,Disrupting Public Order,3711,338,0.09108057127458906
Discriminatory Behavior,Environmental Damage,3711,0,0.0
Discriminatory Behavior,Psychological Harm,3711,335,0.09027216383724064
Discriminatory Behavior,White-Collar Crime,3711,5,0.0013473457289140394
Discriminatory Behavior,Animal Abuse,3711,2,0.0005389382915656157
Endangering Public Health,Endangering National Security,2046,389,0.19012707722385142
Endangering Public Health,Insulting Behavior,2046,13,0.00635386119257087
Endangering Public Health,Discriminatory Behavior,2046,11,0.005376344086021506
Endangering Public Health,Copyright Issues,2046,5,0.0024437927663734115
Endangering Public Health,Violence,2046,107,0.05229716520039101
Endangering Public Health,Drugs,2046,94,0.04594330400782014
Endangering Public Health,Privacy Violation,2046,276,0.1348973607038123
Endangering Public Health,Economic Crime,2046,195,0.09530791788856305
Endangering Public Health,Mental Manipulation,2046,59,0.028836754643206255
Endangering Public Health,Human Trafficking,2046,6,0.002932551319648094
Endangering Public Health,Physical Harm,2046,396,0.1935483870967742
Endangering Public Health,Sexual Content,2046,8,0.0039100684261974585
Endangering Public Health,Cybercrime,2046,281,0.13734115347018572
Endangering Public Health,Disrupting Public Order,2046,230,0.11241446725317693
Endangering Public Health,Environmental Damage,2046,605,0.2956989247311828
Endangering Public Health,Psychological Harm,2046,328,0.1603128054740958
Endangering Public Health,White-Collar Crime,2046,23,0.011241446725317693
Endangering Public Health,Animal Abuse,2046,2,0.0009775171065493646
Copyright Issues,Endangering National Security,2096,18,0.008587786259541985
Copyright Issues,Insulting Behavior,2096,12,0.0057251908396946565
Copyright Issues,Discriminatory Behavior,2096,2,0.0009541984732824427
Copyright Issues,Endangering Public Health,2096,5,0.002385496183206107
Copyright Issues,Violence,2096,3,0.0014312977099236641
Copyright Issues,Drugs,2096,21,0.010019083969465648
Copyright Issues,Privacy Violation,2096,184,0.08778625954198473
Copyright Issues,Economic Crime,2096,308,0.14694656488549618
Copyright Issues,Mental Manipulation,2096,6,0.0028625954198473282
Copyright Issues,Human Trafficking,2096,1,0.00047709923664122136
Copyright Issues,Physical Harm,2096,2,0.0009541984732824427
Copyright Issues,Sexual Content,2096,6,0.0028625954198473282
Copyright Issues,Cybercrime,2096,608,0.2900763358778626
Copyright Issues,Disrupting Public Order,2096,8,0.003816793893129771
Copyright Issues,Environmental Damage,2096,4,0.0019083969465648854
Copyright Issues,Psychological Harm,2096,8,0.003816793893129771
Copyright Issues,White-Collar Crime,2096,38,0.01812977099236641
Copyright Issues,Animal Abuse,2096,1,0.00047709923664122136
Violence,Endangering National Security,9417,909,0.09652755654667092
Violence,Insulting Behavior,9417,418,0.0443878092810874
Violence,Discriminatory Behavior,9417,128,0.013592439205691835
Violence,Endangering Public Health,9417,107,0.011362429648508017
Violence,Copyright Issues,9417,3,0.00031857279388340236
Violence,Drugs,9417,108,0.011468620579802484
Violence,Privacy Violation,9417,581,0.06169693108208559
Violence,Economic Crime,9417,656,0.06966125092917065
Violence,Mental Manipulation,9417,667,0.07082935117340979
Violence,Human Trafficking,9417,334,0.03546777105235213
Violence,Physical Harm,9417,4895,0.5198046086864182
Violence,Sexual Content,9417,276,0.029308697037273016
