category,response_positions,share_of_response_positions
Endangering National Security,6438,0.04355473771090695
Insulting Behavior,7852,0.05312081399596791
Discriminatory Behavior,3711,0.02510587630400368
Endangering Public Health,2046,0.013841719999458778
Copyright Issues,2096,0.014179982951547215
Violence,9417,0.06370844439633594
Drugs,7232,0.04892635339007131
Privacy Violation,16976,0.11484703749306562
Economic Crime,19122,0.12936528339670125
Mental Manipulation,13853,0.09371913350562193
Human Trafficking,4689,0.031722299646853476
Physical Harm,9209,0.062301270515648044
Sexual Content,1792,0.012123344202849527
Cybercrime,22836,0.15449145547783025
Disrupting Public Order,4819,0.03260178332228341
Environmental Damage,1621,0.010966484906707078
Psychological Harm,9243,0.06253128932306819
White-Collar Crime,9846,0.06661074052525472
Animal Abuse,1448,0.009796095092481092
