category,solo_response_positions,solo_share_given_category
Endangering National Security,462,0.0717614165890028
Insulting Behavior,1097,0.13970962812022414
Discriminatory Behavior,1100,0.29641606036108864
Endangering Public Health,257,0.12561094819159335
Copyright Issues,1144,0.5458015267175572
Violence,780,0.08282892640968462
Drugs,1834,0.2535951327433628
Privacy Violation,2327,0.13707587181903863
Economic Crime,2021,0.10568978140361887
Mental Manipulation,4908,0.35429148920811376
Human Trafficking,1320,0.28150991682661547
Physical Harm,459,0.04984254533608427
Sexual Content,266,0.1484375
Cybercrime,2320,0.10159397442634437
Disrupting Public Order,647,0.13426021996264786
Environmental Damage,304,0.1875385564466379
Psychological Harm,106,0.011468138050416531
White-Collar Crime,722,0.07332927076985578
Animal Abuse,559,0.3860497237569061
