"category","F1","F2","F3","F4","F5","F6","F7"
"Endangering National Security",0.015482730841462,0.0218292910955723,0.22701927134943,0.690211494456552,0.228039428534156,0.0755462027190842,0.116704111637879
"Insulting Behavior",0.120158576515808,-0.0840780915492055,-0.912138607474915,-0.00587501184050397,-0.121660471059053,0.11435610267923,-0.043487453380036
"Discriminatory Behavior",0.226625682303816,-0.112529463997274,-0.66703120099787,0.040083944144118,-0.158080046983571,-0.197501477058875,-0.109439777439128
"Endangering Public Health",0.0180475697989774,0.042600994376626,-0.0151218957696827,0.0334360515783356,0.00352468391818415,0.0511190127275641,0.999976286884157
"Copyright Issues",0.0423087788164888,-0.261259756432844,-0.0263275596855742,-0.128986863350124,0.0958607738962468,-0.329381100300591,-0.10920993753339
"Violence",0.0313358709231224,0.879817521992897,0.04671288739688,0.232268843068304,-0.0655926100398249,-0.0767727899944088,-0.11876309683287
"Drugs",-0.0791044308968965,-0.0167152450994164,0.1160325443043,-0.295024164024433,0.277238485868867,-0.164480362660526,-0.0363633978176293
"Privacy Violation",0.133651948307664,-0.205595961461611,0.133054373346717,-0.237778051698195,0.44461989119102,0.122400870069567,0.100322620064098
"Economic Crime",-0.958639698071956,0.0420461774978324,0.0697569687939623,-0.0934117705364217,0.0693286207073093,-0.0314794518933561,-0.0129496853047319
"Mental Manipulation",0.0587477834382005,-0.179285913149745,-0.00837918229220188,0.308552790518497,-0.168398239044414,0.676160780536352,-0.129537128035194
"Human Trafficking",0.313453526159601,-0.0410888346413438,0.401623774470095,-0.185245248672153,-0.0754985808707834,0.503061362458976,-0.232403282691707
"Physical Harm",0.0844321332839301,0.847761015807277,0.0859241908418951,-0.147570760671277,-0.0436514286459982,0.0733364144661316,0.136416563580655
"Sexual Content",0.405951806218519,0.0864710849883405,0.0739042806934415,-0.360002836102721,-0.104306871953415,0.307452267789709,-0.167700794766308
"Cybercrime",0.0633171605390933,-0.056628746438915,0.0999385502890762,0.0360419663265972,1.00119685611476,-0.0770509980762694,-0.0541462681867307
"Disrupting Public Order",0.122381299247898,0.0922423109871264,-0.109648191190321,0.866003421876831,-0.0660120365711217,0.00333544485395824,0.0296608806401155
"Environmental Damage",0.156837544045265,-0.23438686750873,0.368414785403985,0.0599629413919701,-0.271947723568522,-0.242221298099474,0.585905285423883
"Psychological Harm",0.0539673174393688,0.237387735338136,-0.246708811369365,-0.233227372545952,-0.0666926901368914,0.652125385942239,0.155866913436822
"White-Collar Crime",-0.847540267809754,-0.186188783386167,0.11830928103557,-0.021523208139723,-0.240812049467235,0.0167710344673005,-0.0903441693373781
"Animal Abuse",0.295361371530213,0.231877544599843,0.303107065036651,-0.104197549985382,-0.344910178288114,-0.377139583071237,-0.132671916319696
