"category","F1","F2","F3","F4","F5","F6","F7"
"Endangering National Security",0.0231581140875723,0.00400091930728333,0.240226768174111,0.68706966402739,0.217755632876462,0.0804807012527801,0.117122156172342
"Insulting Behavior",0.113047511811987,-0.086404145772488,-0.918479362741683,-0.013112711797629,-0.116347146866286,0.123268884344192,-0.0364196206511992
"Discriminatory Behavior",0.228121341087594,-0.117390348204046,-0.677320322752904,0.0392546558169734,-0.148294964753121,-0.202641987635667,-0.0947016591817849
"Endangering Public Health",0.0116079968198143,0.054781606647152,-0.0190706184985614,0.0367259440391139,0.0126299387681475,0.0667147971123387,1.00099492412582
"Copyright Issues",0.0164037309844167,-0.236860981749668,-0.0218459678600269,-0.0978548868957385,0.102687403592423,-0.288665250775433,-0.127446952970101
"Violence",0.0312437762321677,0.862248783291576,0.0542647113154773,0.245139803519901,-0.0638109105189386,-0.0905510303246456,-0.126149382303102
"Drugs",-0.0834490223264378,-0.00552915219483746,0.0994075152092053,-0.311027890192795,0.277775224987236,-0.157202806449076,-0.0291953263136574
"Privacy Violation",0.14343847288257,-0.203833546041944,0.142194215327871,-0.260561129430024,0.431559888083942,0.1085198714188,0.108554820160892
"Economic Crime",-0.973920720959103,0.0320192877542601,0.0688991371539753,-0.0893104851991493,0.0605483379321484,-0.0201409209383781,-0.0234242703498443
"Mental Manipulation",0.0734405377379341,-0.184155028495897,0.00434072786813429,0.298227378423247,-0.180485441561059,0.671237896499047,-0.113478700590506
"Human Trafficking",0.340874079675733,-0.0342812820357226,0.398323909594789,-0.186324527800986,-0.0752068110167823,0.472953257931747,-0.236987633458064
"Physical Harm",0.0813062779770399,0.873645955703029,0.0866704485873243,-0.143753206618729,-0.0495107321950606,0.0735628926965604,0.138421473428491
"Sexual Content",0.434185031023116,0.0636913635050697,0.074147201430802,-0.343640733775243,-0.109854602446198,0.300012702177785,-0.209101615407249
"Cybercrime",0.0570274744405996,-0.0610377279443135,0.103310393167618,0.0273699492935748,1.00258045252198,-0.0737055679025145,-0.0466232985752136
"Disrupting Public Order",0.114444700738816,0.0807481112018388,-0.102224194588672,0.872447157188091,-0.0690493213231938,0.00683167130426524,0.0264258113714678
"Environmental Damage",0.168613547388421,-0.232731398105248,0.356788396441853,0.0375710976076982,-0.277362946013956,-0.282119200736298,0.595869150813212
"Psychological Harm",0.0596442444754602,0.244863586160299,-0.227414561342561,-0.220552079647694,-0.0836660897583393,0.651263794518474,0.145957804333546
"White-Collar Crime",-0.809850731177129,-0.21429641315355,0.14816371651606,-0.0383025876223716,-0.259716482828351,0.013880269006747,-0.0880009254717184
"Animal Abuse",0.290717844435919,0.240070140756756,0.257862535321292,-0.0979514268258818,-0.327110163048294,-0.414863306825121,-0.152256082871441
