"category","Endangering National Security","Insulting Behavior","Discriminatory Behavior","Endangering Public Health","Copyright Issues","Violence","Drugs","Privacy Violation","Economic Crime","Mental Manipulation","Human Trafficking","Physical Harm","Sexual Content","Cybercrime","Disrupting Public Order","Environmental Damage","Psychological Harm","White-Collar Crime","Animal Abuse"
"Endangering National Security",1,-0.247390338607484,-0.147609517091911,0.258642721910567,-0.15289011805351,0.130790795340777,-0.230689305935856,-0.0515038428125175,-0.0796477757059253,-0.0319413779052818,-0.0912334363579213,-0.0532148945157625,-0.320312793803457,0.358287946842689,0.53099619230704,0.178274535973402,-0.264700849192253,-0.0494159383503199,-0.0965254379807124
"Insulting Behavior",-0.247390338607484,1,0.744517276599584,-0.21679877178268,-0.145626228463172,-0.0660574959689769,-0.367636026888516,-0.111691983525057,-0.309108497961207,0.336139750259292,-0.182269734089298,-0.144197905932682,0.132268010885928,-0.345936970723305,0.140226765537222,-0.34119807672888,0.430402231302445,-0.180274430904088,-0.19524642321603
"Discriminatory Behavior",-0.147609517091911,0.744517276599584,1,-0.140277708049569,-0.0847402834940121,-0.0701082888803594,-0.209007200937607,-0.281610695815016,-0.34146656384648,-0.0228059821658461,-0.0502626308592701,-0.136359641932601,0.0112366292622231,-0.319174506537265,0.206763847985643,-0.242238392763737,0.0375541299150229,-0.200609106586051,-0.12919277157122
"Endangering Public Health",0.258642721910567,-0.21679877178268,-0.14027770804957,1,-0.100299438585677,-0.0433689281955062,-0.0104221100787543,-0.0382135435317608,-0.112997861225036,-0.166599879233653,-0.237112534642928,0.181614462168063,-0.158493376949045,-0.0830347051969249,0.190199732739451,0.649715861426794,0.0726446875970373,-0.163745145083011,-0.139453773518575
"Copyright Issues",-0.15289011805351,-0.145626228463172,-0.0847402834940121,-0.100299438585677,1,-0.272806436063797,-0.0493066008488752,-0.035306856243408,0.0798461779746779,-0.202890680080245,-0.257461904163696,-0.315323804850917,-0.0912785028565225,0.174139914539891,-0.190710626368364,-0.0620977293662102,-0.31842324123676,0.0162324241708255,-0.0817712486351668
"Violence",0.130790795340777,-0.0660574959689769,-0.0701082888803594,-0.0433689281955061,-0.272806436063797,1,-0.235536721639649,-0.256846086472624,-0.230865257382461,-0.0957213601725422,-0.00869357373487194,0.747362884725392,0.141869322073041,-0.134062781133222,0.308622990920004,-0.0961228168270867,0.104002857968907,-0.345667812584065,0.335593474391507
"Drugs",-0.230689305935856,-0.367636026888516,-0.209007200937607,-0.0104221100787543,-0.0493066008488752,-0.235536721639649,1,0.0542484924918575,0.183545329372893,-0.22619429766016,-0.0723423291811994,-0.051205792953437,-0.0161000241034444,0.39369723954318,-0.291762941023474,-0.132856365180553,-0.231091934266036,0.0937623077588394,-0.0134603474770884
"Privacy Violation",-0.0515038428125176,-0.111691983525057,-0.281610695815016,-0.0382135435317608,-0.035306856243408,-0.256846086472624,0.0542484924918575,1,0.0439054555745744,-0.133666093751551,0.162795852860689,-0.146195206394307,0.0472974874293612,0.551701651584148,-0.292554194262436,0.131180507922723,0.018414472970623,-0.0554837383208919,-0.16863812399689
"Economic Crime",-0.0796477757059253,-0.309108497961207,-0.34146656384648,-0.112997861225036,0.0798461779746779,-0.230865257382461,0.183545329372893,0.0439054555745744,1,-0.262398929247767,-0.292884990921174,-0.282747164141242,-0.468490782977374,0.203058134806119,-0.28848324114107,-0.0623732024055208,-0.236252490417834,0.823985683888648,-0.250023396231815
"Mental Manipulation",-0.0319413779052817,0.336139750259292,-0.0228059821658461,-0.166599879233653,-0.202890680080245,-0.0957213601725422,-0.226194297660161,-0.133666093751551,-0.262398929247767,1,0.294656113440528,-0.0945213893425155,0.173580154889958,-0.250322537581721,0.244224309539282,-0.208497478318146,0.409213543946064,-0.139739741386148,-0.28705961100335
"Human Trafficking",-0.0912334363579213,-0.182269734089298,-0.0502626308592701,-0.237112534642928,-0.257461904163696,-0.00869357373487194,-0.0723423291811995,0.162795852860689,-0.292884990921174,0.294656113440528,1,0.209405173499717,0.534581538749563,-0.0834866781960407,-0.311759262768088,-0.154696519402992,0.334253925172655,-0.20717407938749,0.0615577754896235
"Physical Harm",-0.0532148945157625,-0.144197905932682,-0.136359641932601,0.181614462168063,-0.315323804850917,0.747362884725392,-0.051205792953437,-0.146195206394307,-0.282747164141242,-0.0945213893425155,0.209405173499717,1,0.244098196104171,-0.190772834700738,-0.0352616058391346,-0.0543561917653118,0.292102102808918,-0.398998092640558,0.301701193472378
"Sexual Content",-0.320312793803457,0.132268010885928,0.0112366292622231,-0.158493376949045,-0.0912785028565225,0.141869322073041,-0.0161000241034444,0.0472974874293612,-0.468490782977374,0.173580154889958,0.534581538749563,0.244098196104171,1,-0.240199449589147,-0.255365297184576,-0.264901436407118,0.450311501875785,-0.340511608029233,0.109067243756094
"Cybercrime",0.358287946842689,-0.345936970723305,-0.319174506537265,-0.0830347051969249,0.174139914539891,-0.134062781133222,0.39369723954318,0.551701651584148,0.203058134806119,-0.250322537581721,-0.0834866781960407,-0.190772834700738,-0.240199449589147,1,-0.0882108761993089,-0.142970562335513,-0.279029667841846,-0.12086082754155,-0.277075715470596
"Disrupting Public Order",0.53099619230704,0.140226765537222,0.206763847985643,0.190199732739451,-0.190710626368364,0.308622990920004,-0.291762941023474,-0.292554194262436,-0.28848324114107,0.244224309539282,-0.311759262768088,-0.0352616058391346,-0.255365297184576,-0.0882108761993088,1,0.0655048221936625,-0.1445081062573,-0.275576397785285,0.0062487308695786
"Environmental Damage",0.178274535973402,-0.34119807672888,-0.242238392763737,0.649715861426794,-0.0620977293662102,-0.0961228168270867,-0.132856365180553,0.131180507922723,-0.0623732024055209,-0.208497478318146,-0.154696519402992,-0.0543561917653118,-0.264901436407118,-0.142970562335513,0.0655048221936625,1,-0.317103929232319,-0.0148696061731053,0.290833210191164
"Psychological Harm",-0.264700849192253,0.430402231302445,0.037554129915023,0.0726446875970373,-0.31842324123676,0.104002857968907,-0.231091934266036,0.018414472970623,-0.236252490417834,0.409213543946064,0.334253925172654,0.292102102808918,0.450311501875785,-0.279029667841845,-0.1445081062573,-0.317103929232319,1,-0.283592451977178,-0.0570048148286242
