"category","Endangering National Security","Insulting Behavior","Discriminatory Behavior","Endangering Public Health","Copyright Issues","Violence","Drugs","Privacy Violation","Economic Crime","Mental Manipulation","Human Trafficking","Physical Harm","Sexual Content","Cybercrime","Disrupting Public Order","Environmental Damage","Psychological Harm","White-Collar Crime","Animal Abuse"
"Endangering National Security",1,-0.248106782806313,-0.144950364963383,0.265031956746586,-0.151422408711884,0.1279607585211,-0.247920530617543,-0.061406080083847,-0.0788334134439142,-0.0326759217724132,-0.0760097994278523,-0.0515395763828032,-0.324296668715365,0.352481183090181,0.531443238091109,0.182892441610699,-0.255946392133712,-0.0461319673401072,-0.106551031021638
"Insulting Behavior",-0.248106782806313,1,0.746827540218992,-0.20223071204757,-0.13526182098064,-0.0786477902337524,-0.356658742413789,-0.115021891459539,-0.308552845019007,0.324010501284942,-0.183559149263588,-0.135462832991594,0.160469173078613,-0.341509932702867,0.132865847103924,-0.354551032664432,0.437206271941339,-0.191446633312753,-0.18413958185129
"Discriminatory Behavior",-0.144950364963383,0.746827540218991,1,-0.125447009851108,-0.0952496845331362,-0.0740315089157579,-0.200152900288147,-0.289854661513792,-0.330441068412758,-0.0224880342591745,-0.0490934042384391,-0.141476674826407,0.0275106015454253,-0.318141798204762,0.198303255208671,-0.220145817018329,0.0323786598533086,-0.237114344571385,-0.0880939629187156
"Endangering Public Health",0.265031956746586,-0.202230712047569,-0.125447009851108,1,-0.121610530257284,-0.047672928467686,-0.00436915615855805,-0.0280005149699754,-0.118826786423322,-0.144663933874838,-0.245336341519319,0.178151671793279,-0.21596916879983,-0.0693193570037389,0.19861642970352,0.643909111968889,0.0651495122986351,-0.15897132073402,-0.178585710304224
"Copyright Issues",-0.151422408711884,-0.13526182098064,-0.0952496845331362,-0.121610530257284,1,-0.244550890066812,-0.0700566052838243,-0.032988564653005,0.0811367158589222,-0.189490124287018,-0.233362310098478,-0.293896393162995,-0.074096139162059,0.164107346557116,-0.16864768073163,-0.0665516987882506,-0.321140537907608,0.0235351411220773,-0.0934874171142567
"Violence",0.1279607585211,-0.0786477902337524,-0.074031508915758,-0.0476729284676861,-0.244550890066812,1,-0.230618950034476,-0.251755453673695,-0.229977035582342,-0.10381827213153,-0.0136783715863953,0.750577796708257,0.126160517979947,-0.124679982660025,0.309396581396258,-0.0988453203863878,0.099250206022893,-0.358832537470803,0.34254916266893
"Drugs",-0.247920530617543,-0.356658742413789,-0.200152900288148,-0.00436915615855807,-0.0700566052838242,-0.230618950034476,1,0.0436907965053903,0.182309248418145,-0.22395393524163,-0.0588715894073984,-0.0510920543601508,-0.0142317711253215,0.387345215819161,-0.30075929871049,-0.144626325885165,-0.215827743668178,0.088071818826123,-0.00630792362853466
"Privacy Violation",-0.061406080083847,-0.115021891459538,-0.289854661513792,-0.0280005149699753,-0.032988564653005,-0.251755453673695,0.0436907965053903,1,0.0470973580831943,-0.136683838680014,0.15804741353019,-0.149560388904058,0.053142502871143,0.545578275991113,-0.302929142664089,0.131618768339787,0.026406633675488,-0.0505223873748736,-0.16075376110392
"Economic Crime",-0.0788334134439142,-0.308552845019007,-0.330441068412758,-0.118826786423322,0.0811367158589222,-0.229977035582342,0.182309248418145,0.0470973580831943,1,-0.253605973588067,-0.292972355166585,-0.291645828561308,-0.506378470645002,0.206168505636408,-0.286025115817563,-0.0699785204048905,-0.235356111794497,0.819156085027009,-0.265413639549266
"Mental Manipulation",-0.0326759217724132,0.324010501284942,-0.0224880342591745,-0.144663933874838,-0.189490124287018,-0.10381827213153,-0.22395393524163,-0.136683838680014,-0.253605973588067,1,0.284394017561245,-0.0988640323228813,0.189667825061189,-0.248439299856255,0.238388010335555,-0.209726113252073,0.4064205599408,-0.144153218009095,-0.291042294274114
"Human Trafficking",-0.0760097994278523,-0.183559149263588,-0.049093404238439,-0.245336341519319,-0.233362310098478,-0.0136783715863953,-0.0588715894073984,0.15804741353019,-0.292972355166585,0.284394017561245,1,0.214416738770835,0.540772124496157,-0.0895451663624626,-0.306627863204764,-0.181682622809609,0.330569409038009,-0.214955444171713,0.0553857668889716
"Physical Harm",-0.0515395763828032,-0.135462832991594,-0.141476674826407,0.178151671793279,-0.293896393162995,0.750577796708257,-0.0510920543601508,-0.149560388904058,-0.291645828561308,-0.0988640323228813,0.214416738770835,1,0.239107149877793,-0.1906809600269,-0.0344561719381454,-0.0633798058062,0.299871378704923,-0.408218828139795,0.292914051742635
"Sexual Content",-0.324296668715365,0.160469173078613,0.0275106015454253,-0.21596916879983,-0.0740961391620591,0.126160517979947,-0.0142317711253215,0.0531425028711429,-0.506378470645002,0.189667825061189,0.540772124496157,0.239107149877794,1,-0.234521000573552,-0.255537667214886,-0.274263692360734,0.43242004269561,-0.312386971241115,0.086039242315011
"Cybercrime",0.352481183090181,-0.341509932702867,-0.318141798204762,-0.0693193570037389,0.164107346557116,-0.124679982660024,0.387345215819161,0.545578275991113,0.206168505636408,-0.248439299856255,-0.0895451663624625,-0.1906809600269,-0.234521000573552,1,-0.0951690978782663,-0.14744185392418,-0.275002294624068,-0.123467408662799,-0.274730404854716
"Disrupting Public Order",0.53144323809111,0.132865847103924,0.198303255208671,0.19861642970352,-0.16864768073163,0.309396581396258,-0.300759298710491,-0.302929142664089,-0.286025115817563,0.238388010335555,-0.306627863204764,-0.0344561719381454,-0.255537667214886,-0.0951690978782663,1,0.0635958501607621,-0.138489910811542,-0.275974758303675,0.014217728457001
"Environmental Damage",0.182892441610699,-0.354551032664432,-0.220145817018329,0.64390911196889,-0.0665516987882506,-0.0988453203863878,-0.144626325885165,0.131618768339787,-0.0699785204048906,-0.209726113252073,-0.181682622809609,-0.0633798058062,-0.274263692360733,-0.14744185392418,0.0635958501607621,1,-0.328351872749001,0.0118235886146423,0.285112889146574
"Psychological Harm",-0.255946392133712,0.437206271941339,0.0323786598533086,0.0651495122986351,-0.321140537907608,0.099250206022893,-0.215827743668178,0.026406633675488,-0.235356111794497,0.4064205599408,0.330569409038009,0.299871378704923,0.43242004269561,-0.275002294624068,-0.138489910811542,-0.328351872749001,1,-0.283283105918543,-0.063506310486867
"White-Collar Crime",-0.0461319673401072,-0.191446633312753,-0.237114344571385,-0.15897132073402,0.0235351411220773,-0.358832537470803,0.0880718188261229,-0.0505223873748736,0.819156085027009,-0.144153218009095,-0.214955444171713,-0.408218828139795,-0.312386971241114,-0.123467408662799,-0.275974758303675,0.0118235886146423,-0.283283105918544,1,-0.230507706765467
"Animal Abuse",-0.106551031021638,-0.18413958185129,-0.0880939629187157,-0.178585710304224,-0.0934874171142566,0.34254916266893,-0.00630792362853468,-0.16075376110392,-0.265413639549266,-0.291042294274114,0.0553857668889715,0.292914051742635,0.086039242315011,-0.274730404854716,0.014217728457001,0.285112889146574,-0.063506310486867,-0.230507706765467,1
