source_file,source_line,response_0_sha256,response_1_sha256,stratum,stratum_population_N_h,stratum_sample_n_h,inclusion_probability,design_weight_N_h_over_n_h,within_stratum_draw_order
Alpaca2-7B-train.jsonl,10612,8a0915c6d6820354f3e913f04b91f8016f3777dfd75c7abb48872da1b486382c,bd5162517e66ddf47948f209ef0e852c7bbd2dafd98c046aa8642463f8e695c2,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,1
Alpaca3-8B-train.jsonl,13319,49ba48727fa937434b5a0637443eeb08e510cceeb88abc91c08183784c8043db,880c75a35d109dbae5b8ded06a5b7af0de979058dac271fc2723299bf02ad746,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,2
Alpaca3-8B-train.jsonl,5007,b215fce6c09d62a48269e7051b4cb0cd44f0a60ede8bb4ea8c80b6d2b1428be4,c90c2c2e9f27a8b088613e55ebce4ddf978d066ce4c3d9455fc3d18ae2c78603,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,3
Alpaca-7B-train.jsonl,3893,d57bcb9e002afa8560e793dabd947140e495c90f4b250650ad8c67710abc83f1,4ceee5d88b073724bd86005367cd5713a1a4eacadf60a8bd247191972388e91e,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,4
Alpaca2-7B-train.jsonl,12959,df6245e7ca8932cd8bb7f07f3c67dd61dc208a83a86180c990fb15f2b6888ec4,d479186a7f04f945e8ee8104ec68f9d4d1760ae2207a11da4cf477dd2269ff98,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,5
Alpaca3-8B-train.jsonl,3351,968841b19682764a063edd1f8a0ad8aac6bb945ab433cd0aeab5568fd5623418,50b653596b25cc2201415e08d4c0d57a73613358f5ab63bab679fa0962512a14,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,6
Alpaca3-8B-train.jsonl,17343,bdcc4cbf32ba16b44a52ac8eaef5231e15278680c7d95c2ce3bcd3017795e028,1ff1084a45344d4f0b6f5ecab9837b5894d1e8e6cdaf5461ecdb7212cfcbd52d,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,7
Alpaca3-8B-train.jsonl,10334,72bf7a09555b23814a720af71049a41cbfec1f00354976e45e6ea228846f3083,5e66d6da62ecf061cb0ec9fd49d9a069dde36a05ac4a3c039dfbabbe2bd1043d,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,8
Alpaca-7B-train.jsonl,6652,7f9e122156e771359f35ad58ff3f2c4dca32656a08dbdafd57f37f751d10d14f,5941de232b3b3beb8fb465cd7aedfd892ab828fe9243789002ecde2b15e1a899,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,9
Alpaca3-8B-train.jsonl,11452,d773e95bc9e08a5e8eb7b3188147f90cee951208adbfc6ce165dfdca48cd4860,ce66bf137cb3c081b54a1ea54d4661d7bb9d179449b7ec750c379b3aeb828c36,L1_no_recorded_safety_field_difference,44325,1000,0.022560631697687534,44.325,10
