design_weighted_position_estimate,external_unsafe,pku_unsafe,rendering,sample_response_positions,severity_level,site
69635.4109999984,false,false,prompt_response,2287,0,shieldgemma_9b
2434.739000000003,true,false,prompt_response,95,0,shieldgemma_9b
10.813,true,true,prompt_response,1,0,shieldgemma_9b
5633.339999999981,false,true,prompt_response,519,1,shieldgemma_9b
3321.108999999994,true,true,prompt_response,286,1,shieldgemma_9b
34575.22400000027,false,true,prompt_response,2270,2,shieldgemma_9b
21154.293000000103,true,true,prompt_response,1521,2,shieldgemma_9b
3297.7619999999815,false,true,prompt_response,314,3,shieldgemma_9b
7751.30899999999,true,true,prompt_response,707,3,shieldgemma_9b
68602.89399999857,false,false,response_only,2238,0,shieldgemma_9b
3467.256000000004,true,false,response_only,144,0,shieldgemma_9b
10.813,false,true,response_only,1,0,shieldgemma_9b
5223.409999999983,false,true,response_only,495,1,shieldgemma_9b
3731.0389999999925,true,true,response_only,310,1,shieldgemma_9b
36183.705000000286,false,true,response_only,2384,2,shieldgemma_9b
19545.81200000012,true,true,response_only,1407,2,shieldgemma_9b
4709.923999999975,false,true,response_only,433,3,shieldgemma_9b
6339.1469999999845,true,true,response_only,588,3,shieldgemma_9b
