design_weighted_position_estimate,external_unsafe,is_safer_winner,native_stratum,pku_unsafe,rendering,sample_response_positions,site
29387.475000000322,false,false,L1_no_recorded_safety_field_difference,false,prompt_response,663,shieldgemma_9b
30008.025000000333,false,true,L1_no_recorded_safety_field_difference,false,prompt_response,677,shieldgemma_9b
1241.1000000000006,true,false,L1_no_recorded_safety_field_difference,false,prompt_response,28,shieldgemma_9b
620.5500000000001,true,true,L1_no_recorded_safety_field_difference,false,prompt_response,14,shieldgemma_9b
8111.474999999977,false,false,L1_no_recorded_safety_field_difference,true,prompt_response,183,shieldgemma_9b
8288.774999999978,false,true,L1_no_recorded_safety_field_difference,true,prompt_response,187,shieldgemma_9b
5584.949999999987,true,false,L1_no_recorded_safety_field_difference,true,prompt_response,126,shieldgemma_9b
5407.649999999988,true,true,L1_no_recorded_safety_field_difference,true,prompt_response,122,shieldgemma_9b
7016.91600000009,false,false,L2_category_difference_tied_safety_and_severity,true,prompt_response,547,shieldgemma_9b
7311.9600000001,false,true,L2_category_difference_tied_safety_and_severity,true,prompt_response,570,shieldgemma_9b
5811.08400000005,true,false,L2_category_difference_tied_safety_and_severity,true,prompt_response,453,shieldgemma_9b
5516.04000000004,true,true,L2_category_difference_tied_safety_and_severity,true,prompt_response,430,shieldgemma_9b
2715.036999999985,false,false,L3_severity_difference_same_safety_state,true,prompt_response,457,shieldgemma_9b
3012.086999999975,false,true,L3_severity_difference_same_safety_state,true,prompt_response,507,shieldgemma_9b
3225.962999999968,true,false,L3_severity_difference_same_safety_state,true,prompt_response,543,shieldgemma_9b
2928.9129999999777,true,true,L3_severity_difference_same_safety_state,true,prompt_response,493,shieldgemma_9b
10239.911000000086,false,true,L4_safety_boundary_difference,false,prompt_response,947,shieldgemma_9b
573.0889999999996,true,true,L4_safety_boundary_difference,false,prompt_response,53,shieldgemma_9b
7050.0760000000555,false,false,L4_safety_boundary_difference,true,prompt_response,652,shieldgemma_9b
3762.924000000025,true,false,L4_safety_boundary_difference,true,prompt_response,348,shieldgemma_9b
29121.525000000318,false,false,L1_no_recorded_safety_field_difference,false,response_only,657,shieldgemma_9b
29609.100000000326,false,true,L1_no_recorded_safety_field_difference,false,response_only,668,shieldgemma_9b
1507.0500000000009,true,false,L1_no_recorded_safety_field_difference,false,response_only,34,shieldgemma_9b
1019.4750000000005,true,true,L1_no_recorded_safety_field_difference,false,response_only,23,shieldgemma_9b
8643.374999999984,false,false,L1_no_recorded_safety_field_difference,true,response_only,195,shieldgemma_9b
8643.374999999984,false,true,L1_no_recorded_safety_field_difference,true,response_only,195,shieldgemma_9b
5053.049999999989,true,false,L1_no_recorded_safety_field_difference,true,response_only,114,shieldgemma_9b
5053.049999999989,true,true,L1_no_recorded_safety_field_difference,true,response_only,114,shieldgemma_9b
7453.068000000105,false,false,L2_category_difference_tied_safety_and_severity,true,response_only,581,shieldgemma_9b
7850.736000000118,false,true,L2_category_difference_tied_safety_and_severity,true,response_only,612,shieldgemma_9b
5374.932000000035,true,false,L2_category_difference_tied_safety_and_severity,true,response_only,419,shieldgemma_9b
4977.264000000022,true,true,L2_category_difference_tied_safety_and_severity,true,response_only,388,shieldgemma_9b
2970.4999999999764,false,false,L3_severity_difference_same_safety_state,true,response_only,500,shieldgemma_9b
3332.9009999999644,false,true,L3_severity_difference_same_safety_state,true,response_only,561,shieldgemma_9b
2970.4999999999764,true,false,L3_severity_difference_same_safety_state,true,response_only,500,shieldgemma_9b
2608.0989999999883,true,true,L3_severity_difference_same_safety_state,true,response_only,439,shieldgemma_9b
9872.269000000082,false,true,L4_safety_boundary_difference,false,response_only,913,shieldgemma_9b
940.7309999999992,true,true,L4_safety_boundary_difference,false,response_only,87,shieldgemma_9b
7233.897000000057,false,false,L4_safety_boundary_difference,true,response_only,669,shieldgemma_9b
3579.1030000000233,true,false,L4_safety_boundary_difference,true,response_only,331,shieldgemma_9b
