ccai_state,design_weighted_pair_estimate,native_stratum,unweighted_pairs
conflict,443.25,L1_no_recorded_safety_field_difference,3
consensus,1034.25,L1_no_recorded_safety_field_difference,7
indifference,147.75,L1_no_recorded_safety_field_difference,1
conflict,128.28,L2_category_difference_tied_safety_and_severity,3
consensus,128.28,L2_category_difference_tied_safety_and_severity,3
indifference,213.79999999999998,L2_category_difference_tied_safety_and_severity,5
conflict,39.60666666666667,L3_severity_difference_same_safety_state,2
consensus,138.62333333333336,L3_severity_difference_same_safety_state,7
indifference,79.21333333333334,L3_severity_difference_same_safety_state,4
conflict,360.43333333333345,L4_safety_boundary_difference,10
consensus,72.08666666666667,L4_safety_boundary_difference,2
indifference,36.04333333333334,L4_safety_boundary_difference,1
