native_stratum,orientation_status,pair_id,preferred_native_response,principle_index
L1_no_recorded_safety_field_difference,stable_substantive,Alpaca3-8B-train.jsonl:5734,0,0
L1_no_recorded_safety_field_difference,stable_substantive,Alpaca3-8B-train.jsonl:5734,0,1
L1_no_recorded_safety_field_difference,stable_substantive,Alpaca3-8B-train.jsonl:5734,0,2
L1_no_recorded_safety_field_difference,stable_substantive,Alpaca3-8B-train.jsonl:5734,0,3
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,4
L1_no_recorded_safety_field_difference,stable_substantive,Alpaca3-8B-train.jsonl:5734,0,5
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,6
L1_no_recorded_safety_field_difference,orientation_inconclusive,Alpaca3-8B-train.jsonl:5734,,7
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,8
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,9
L1_no_recorded_safety_field_difference,orientation_inconclusive,Alpaca3-8B-train.jsonl:5734,,10
L1_no_recorded_safety_field_difference,stable_substantive,Alpaca3-8B-train.jsonl:5734,0,11
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,12
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,13
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,14
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,15
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,16
L1_no_recorded_safety_field_difference,stable_substantive,Alpaca3-8B-train.jsonl:5734,0,17
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,18
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:5734,,19
L1_no_recorded_safety_field_difference,orientation_inconclusive,Alpaca3-8B-train.jsonl:5734,,20
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,1
L2_category_difference_tied_safety_and_severity,position_unstable,Alpaca2-7B-train.jsonl:4878,,0
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,2
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,3
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,4
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,5
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,6
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,7
L2_category_difference_tied_safety_and_severity,orientation_inconclusive,Alpaca2-7B-train.jsonl:4878,,9
L2_category_difference_tied_safety_and_severity,orientation_inconclusive,Alpaca2-7B-train.jsonl:4878,,8
L2_category_difference_tied_safety_and_severity,position_unstable,Alpaca2-7B-train.jsonl:4878,,11
L2_category_difference_tied_safety_and_severity,orientation_inconclusive,Alpaca2-7B-train.jsonl:4878,,10
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,12
L2_category_difference_tied_safety_and_severity,orientation_inconclusive,Alpaca2-7B-train.jsonl:4878,,13
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,14
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,15
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,16
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,17
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,18
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,19
L2_category_difference_tied_safety_and_severity,stable_indifference,Alpaca2-7B-train.jsonl:4878,,20
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,1
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:8231,,0
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,2
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:8231,,3
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,4
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,6
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,5
L1_no_recorded_safety_field_difference,orientation_inconclusive,Alpaca3-8B-train.jsonl:8231,,7
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:8231,,8
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:8231,,9
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,10
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:8231,,11
L1_no_recorded_safety_field_difference,orientation_inconclusive,Alpaca3-8B-train.jsonl:8231,,12
L1_no_recorded_safety_field_difference,position_unstable,Alpaca3-8B-train.jsonl:8231,,13
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,14
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,15
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,16
L1_no_recorded_safety_field_difference,stable_substantive,Alpaca3-8B-train.jsonl:8231,0,17
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,18
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,19
L1_no_recorded_safety_field_difference,stable_indifference,Alpaca3-8B-train.jsonl:8231,,20
L4_safety_boundary_difference,stable_substantive,Alpaca2-7B-train.jsonl:892,0,0
