absolute_risk_gap,native_stratum,pair_id,signed_risk_gap_less_safe_minus_safer
0.6875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:9,-0.6875
0.28125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:18,0.28125
0.9375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:23,-0.9375
0.046875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:27,0.046875
1.7578125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:39,-1.7578125
0.1875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:77,0.1875
1.375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:91,-1.375
0.5,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:126,0.5
0.65625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:189,0.65625
0.953125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:248,0.953125
0.546875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:250,-0.546875
1.03125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:280,-1.03125
1.0625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:310,-1.0625
0.171875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:327,-0.171875
0.0625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:341,-0.0625
1.39453125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:346,1.39453125
0.53125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:358,-0.53125
0.78125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:367,0.78125
0.40625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:385,-0.40625
0.2578125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:388,-0.2578125
2.05908203125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:423,2.05908203125
0.03125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:453,0.03125
0.875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:506,0.875
0.859375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:510,-0.859375
0.453125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:522,0.453125
0.671875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:531,0.671875
0.09375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:532,0.09375
0.875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:533,-0.875
1.125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:539,1.125
8.984375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:545,8.984375
0.96875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:546,0.96875
0.234375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:560,-0.234375
2.77734375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:588,2.77734375
0.734375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:615,0.734375
4.953125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:621,4.953125
0.625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:624,-0.625
1.953125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:634,-1.953125
1.265625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:654,-1.265625
1.078125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:670,1.078125
2.0078125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:687,2.0078125
0.59375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:710,0.59375
1.96875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:755,1.96875
12.21875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:766,12.21875
0.65625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:771,0.65625
1.78125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:777,-1.78125
0.109375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:804,0.109375
3.6875,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:805,3.6875
6.984375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:836,6.984375
4.7421875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:853,4.7421875
0.484375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:857,-0.484375
0.078125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:892,0.078125
1.4375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:895,-1.4375
0.59375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:896,0.59375
3.548828125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:939,3.548828125
0.3125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:941,0.3125
0.34375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:949,-0.34375
0.40625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:964,-0.40625
3.8984375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:973,-3.8984375
0.296875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:996,-0.296875
2.0625,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:998,2.0625
3.046875,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1016,3.046875
1.265625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1042,-1.265625
0.671875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1045,0.671875
0.6875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1051,-0.6875
0.34375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1060,-0.34375
1.28125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1069,-1.28125
4.5625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1075,-4.5625
1.0625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1124,1.0625
0.078125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1160,-0.078125
0.09375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1204,0.09375
3.97265625,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1233,3.97265625
0.390625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1241,0.390625
6.265625,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1249,6.265625
0.984375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1258,-0.984375
0.21875,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1267,-0.21875
5.25,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1281,5.25
3.9453125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1282,3.9453125
0.25,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1291,-0.25
0.390625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1301,0.390625
0.375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1302,0.375
0.046875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1327,-0.046875
8.90625,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1335,8.90625
0.0,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1353,0.0
0.9453125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1358,0.9453125
0.2099609375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1363,-0.2099609375
1.1875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1378,1.1875
1.98828125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1387,1.98828125
2.376953125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1402,2.376953125
2.783203125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1407,2.783203125
11.140625,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1418,11.140625
0.3125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1425,0.3125
0.15625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1438,0.15625
2.08203125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1446,2.08203125
1.640625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1478,1.640625
0.703125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1481,0.703125
1.2265625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1490,-1.2265625
2.21875,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1525,-2.21875
3.9580078125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1559,3.9580078125
0.28125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1561,0.28125
1.59375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1581,1.59375
0.375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1590,0.375
0.640625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1614,-0.640625
9.21875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1620,9.21875
5.28125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1671,5.28125
