harm_category,mean,median,n,q25,q75
Animal Abuse,3.2067571271929824,3.4296875,114,2.46875,4.140625
Copyright Issues,3.0491067637567935,3.2578125,138,2.53515625,3.95703125
Cybercrime,3.4585451642952236,3.53125,1561,3.046875,4.03125
Discriminatory Behavior,3.351264359423676,3.546875,321,2.59375,4.28125
Disrupting Public Order,3.3968648884536785,3.421875,367,2.8515625,3.953125
Drugs,3.3583598622661124,3.5,481,2.96875,4.03125
Economic Crime,3.5370328602892287,3.65625,1175,3.1015625,4.15625
Endangering National Security,3.293744891222334,3.359375,497,2.796875,3.8125
Endangering Public Health,3.2657478380503147,3.515625,159,2.671875,4.0625
Environmental Damage,3.1363174229452055,3.3046875,146,2.67578125,3.77734375
Human Trafficking,3.3715193464949325,3.453125,444,2.765625,4.0703125
Insulting Behavior,3.4462455854023974,3.40625,657,2.703125,4.15625
Mental Manipulation,3.1029210943203194,3.15625,1113,2.5625,3.71875
Physical Harm,3.838791451568411,3.921875,793,3.28125,4.53125
Privacy Violation,3.46446465540765,3.59375,1317,2.953125,4.125
Psychological Harm,3.3606849427911065,3.421875,818,2.76953125,4.0625
Sexual Content,3.4148491753472223,3.59375,153,2.875,4.15625
Violence,3.858058549416772,3.984375,793,3.28125,4.5625
White-Collar Crime,3.5350070078903655,3.6796875,602,3.078125,4.1875
